day,ticker,rk,nbar,open0,g40,g45,g50,g00,pos40,pos50,pos00,traj,g_early,g_late,accel,vwap_dist,mins_since_hi,dd_from_hi,pullbacks,diff45,diff00,widen,dvol_acc,fwd,hit,fade,last_tod,nwbars,_b,_dd
2025-05-02,PONY,2,329,10.56,0.0710227272727272,0.0530303030303029,0.0729166666666665,0.0871212121212121,3.0,5.0,2.0,stable,0.0530303030303029,0.0323741007194244,-0.0206562023108785,0.0278733754342586,0,-0.0154373927958832,0,-0.196969696969697,-0.8356060606060607,-0.6386363636363637,-0.4387527526955829,-0.0905923344947735,0,1,1199,31,T2-mid,0-2%
2025-05-02,KIDZ,3,317,6.41,0.0600624024960998,0.0405616224648985,0.0733229329173166,0.0858034321372853,5.0,4.0,3.0,stable,0.0405616224648985,0.0434782608695651,0.0029166384046666,0.0133941503563816,5,-0.0556309362279511,1,-0.2094383775351014,-0.8369238405899875,-0.6274854630548861,0.8409427151446942,0.021551724137931,1,0,1199,31,T2-mid,5-10%
2025-05-02,FLD,4,135,4.393,0.0471204188481675,0.1336216708399729,0.1085818347370817,0.0812656498975643,6.0,2.0,4.0,stable,0.1336216708399729,-0.0461847389558234,-0.1798064097957963,-0.0114646569304961,15,-0.05,1,-0.1163783291600271,-0.8414616228297085,-0.7250832936696814,0.2496886120311736,-0.0231578947368421,0,1,1199,25,T3-hi,5-10%
2025-05-02,RGTIW,5,124,3.25,0.036923076923077,0.036923076923077,0.0584615384615383,0.0769230769230768,10.0,6.0,5.0,rising,0.036923076923077,0.0385756676557862,0.0016525907327091,0.0338405323127941,2,0.0,0,-0.2130769230769229,-0.845804195804196,-0.632727272727273,-0.1656970762027322,0.0114285714285713,1,0,1199,15,T1-lo,0-2%
2025-05-15,AEVA,1,309,15.9,-0.010691823899371,-0.0022012578616352,0.0213836477987419,0.0937106918238994,46.0,16.0,1.0,rising,-0.0022012578616352,0.0961235423889064,0.0983248002505416,0.0406763447688209,0,-0.0079863091842555,0,-0.1091531295193892,0.0073597168935373,0.1165128464129265,2.30482812142504,-0.0224266820011501,0,1,1199,27,T1-lo,0-2%
2025-05-15,WYHG,2,204,7.18,0.0,0.0069637883008357,-0.0236768802228412,0.0863509749303621,35.0,49.0,2.0,rising,0.0069637883008357,0.0788381742738588,0.071874385973023,0.1059366780085697,4,0.0,2,-0.0999880833569182,-0.0073597168935373,0.0926283664633809,0.5623446678543083,-0.7262820512820514,0,1,1190,19,T1-lo,0-2%
2025-05-15,ASST,3,322,5.64,-0.0620567375886523,-0.0372340425531915,-0.0159574468085106,0.0709219858156029,48.0,48.0,3.0,rising,-0.0372340425531915,0.1123388581952118,0.1495729007484033,0.079700349143388,3,-0.0049423393739703,2,-0.1441859142109455,-0.0227887060082965,0.1213972082026489,0.0443356753830288,0.140728476821192,1,0,1199,31,T1-lo,0-2%
2025-05-15,TSHA,4,300,2.305,0.0130151843817787,0.021691973969631,0.0390455531453362,0.0672451193058567,15.0,4.0,4.0,rising,0.021691973969631,0.0445859872611464,0.0228940132915154,0.0430919555194213,0,0.0,0,-0.0852598976881229,-0.0264655725180427,0.0587943251700802,-0.4371530967410395,0.0406504065040651,1,0,1199,30,T1-lo,0-2%
2025-05-15,SEDG,5,326,17.97,0.0339454646633277,0.0500834724540901,0.0425709515859766,0.0651085141903173,3.0,3.0,5.0,stable,0.0500834724540901,0.0143084260731318,-0.0357750463809583,0.0215846817319027,17,-0.0010438413361169,0,-0.0568683992036638,-0.028602177633582,0.0282662215700817,-0.521539521033072,0.0882967607105535,1,0,1199,31,T2-mid,0-2%
2025-05-29,HKD,1,306,2.29,0.0305676855895196,0.1746724890829694,0.2620087336244541,0.3624454148471616,7.0,1.0,1.0,rising,0.1746724890829694,0.1598513011152416,-0.0148211879677278,0.0523386408651118,3,-0.0930232558139534,2,0.0046724890829694,0.1424454148471616,0.1377729257641922,6.294516217881425,-0.1602564102564102,0,1,1199,29,T3-hi,5-10%
